,Unnamed: 0,Name,Team,Number,Position,Age,Height,Weight,College,Salary
318,318,Dennis Schroder,Atlanta Hawks,17,PG,22,161,172,,1763400.0
319,319,Mike Scott,Atlanta Hawks,32,PF,27,179,237,Virginia,3333333.0
320,320,Thabo Sefolosha,Atlanta Hawks,25,SF,32,159,220,,4000000.0
321,321,Tiago Splitter,Atlanta Hawks,11,C,31,168,245,,9756250.0
322,322,Walter Tavares,Atlanta Hawks,22,C,24,154,260,,1000000.0
323,323,Jeff Teague,Atlanta Hawks,0,PG,27,178,186,Wake Forest,8000000.0
324,324,Nicolas Batum,Charlotte Hornets,5,SG,27,164,200,,13125306.0
325,325,Troy Daniels,Charlotte Hornets,30,SG,24,155,205,Virginia Commonwealth,947276.0
326,326,Jorge Gutierrez,Charlotte Hornets,12,PG,27,178,189,California,189455.0
327,327,Tyler Hansbrough,Charlotte Hornets,50,PF,30,179,250,North Carolina,947276.0
328,328,Aaron Harrison,Charlotte Hornets,9,SG,21,162,210,Kentucky,525093.0
329,329,Spencer Hawes,Charlotte Hornets,0,PF,28,176,245,Washington,6110034.0
330,330,Al Jefferson,Charlotte Hornets,25,C,31,178,289,,13500000.0
331,331,Frank Kaminsky III,Charlotte Hornets,44,C,23,173,240,Wisconsin,2612520.0
332,332,Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,161,232,Kentucky,6331404.0
333,333,Jeremy Lamb,Charlotte Hornets,3,SG,24,179,185,Connecticut,3034356.0
334,334,Courtney Lee,Charlotte Hornets,1,SG,30,158,200,Western Kentucky,5675000.0
335,335,Jeremy Lin,Charlotte Hornets,7,PG,27,171,200,Harvard,2139000.0
336,336,Kemba Walker,Charlotte Hornets,15,PG,26,155,184,Connecticut,12000000.0
337,337,Marvin Williams,Charlotte Hornets,2,PF,29,167,237,North Carolina,7000000.0
338,338,Cody Zeller,Charlotte Hornets,40,C,23,173,240,Indiana,4204200.0
339,339,Chris Bosh,Miami Heat,1,PF,32,165,235,Georgia Tech,22192730.0
340,340,Luol Deng,Miami Heat,9,SF,31,169,220,Duke,10151612.0
341,341,Goran Dragic,Miami Heat,7,PG,30,156,190,,14783000.0
342,342,Gerald Green,Miami Heat,14,SF,30,157,205,,947276.0
343,343,Udonis Haslem,Miami Heat,40,PF,36,161,235,Florida,2854940.0
344,344,Joe Johnson,Miami Heat,2,SF,34,158,240,Arkansas,261894.0
345,345,Tyler Johnson,Miami Heat,8,SG,24,153,186,Fresno State,845059.0
346,346,Josh McRoberts,Miami Heat,4,PF,29,174,240,Duke,5543725.0
347,347,Josh Richardson,Miami Heat,0,SG,22,172,200,Tennessee,525093.0
348,348,Amar'e Stoudemire,Miami Heat,5,PF,33,156,245,,947276.0
349,349,Dwyane Wade,Miami Heat,3,SG,34,152,220,Marquette,20000000.0
350,350,Briante Weber,Miami Heat,12,PG,23,154,165,Virginia Commonwealth,4833969.0
351,351,Hassan Whiteside,Miami Heat,21,C,26,178,265,Marshall,981348.0
352,352,Justise Winslow,Miami Heat,20,SF,20,170,225,Duke,2481720.0
353,353,Dorell Wright,Miami Heat,11,SF,30,150,205,,4833969.0
354,354,Dewayne Dedmon,Orlando Magic,3,C,26,176,245,USC,947276.0
355,355,Evan Fournier,Orlando Magic,10,SG,23,159,205,,2288205.0
356,356,Aaron Gordon,Orlando Magic,0,PF,20,158,220,Arizona,4171680.0
357,357,Mario Hezonja,Orlando Magic,23,SG,21,153,218,,3741480.0
358,358,Ersan Ilyasova,Orlando Magic,7,PF,29,151,235,,7900000.0
359,359,Brandon Jennings,Orlando Magic,55,PG,26,163,169,,8344497.0
360,360,Devyn Marble,Orlando Magic,11,SF,23,153,200,Iowa,845059.0
361,361,Shabazz Napier,Orlando Magic,13,PG,24,163,175,Connecticut,1294440.0
362,362,Andrew Nicholson,Orlando Magic,44,PF,26,151,250,St. Bonaventure,2380593.0
363,363,Victor Oladipo,Orlando Magic,5,SG,24,163,210,Indiana,5192520.0
364,364,Elfrid Payton,Orlando Magic,4,PG,22,150,185,Louisiana-Lafayette,2505720.0
365,365,Jason Smith,Orlando Magic,14,PF,30,174,240,Colorado State,4300000.0
366,366,Nikola Vucevic,Orlando Magic,9,C,25,161,260,USC,11250000.0
367,367,C.J. Watson,Orlando Magic,32,PG,32,157,175,Tennessee,5000000.0
368,368,Alan Anderson,Washington Wizards,6,SG,33,162,220,Michigan State,4000000.0
369,369,Bradley Beal,Washington Wizards,3,SG,22,164,207,Florida,5694674.0
370,370,Jared Dudley,Washington Wizards,1,SF,30,150,225,Boston College,4375000.0
371,371,Jarell Eddie,Washington Wizards,8,SG,24,153,218,Virginia Tech,561716.0
372,372,Drew Gooden,Washington Wizards,90,PF,34,151,250,Kansas,3300000.0
373,373,Marcin Gortat,Washington Wizards,13,C,32,164,240,,11217391.0
374,374,JJ Hickson,Washington Wizards,21,C,27,153,242,North Carolina State,273038.0
375,375,Nene Hilario,Washington Wizards,42,C,33,179,250,,13000000.0
376,376,Markieff Morris,Washington Wizards,5,PF,26,154,245,Kansas,8000000.0
377,377,Kelly Oubre Jr.,Washington Wizards,12,SF,20,155,205,Kansas,1920240.0
378,378,Otto Porter Jr.,Washington Wizards,22,SF,23,167,198,Georgetown,4662960.0
379,379,Ramon Sessions,Washington Wizards,7,PG,30,171,190,Nevada,2170465.0
380,380,Garrett Temple,Washington Wizards,17,SG,30,154,195,LSU,1100602.0
381,381,Marcus Thornton,Washington Wizards,15,SF,29,160,205,LSU,200600.0
382,382,John Wall,Washington Wizards,2,PG,25,165,195,Kentucky,15851950.0
383,383,Darrell Arthur,Denver Nuggets,0,PF,28,167,235,Kansas,2814000.0
384,384,D.J. Augustin,Denver Nuggets,12,PG,28,176,183,Texas,3000000.0
385,385,Will Barton,Denver Nuggets,5,SF,25,170,175,Memphis,3533333.0
386,386,Wilson Chandler,Denver Nuggets,21,SF,29,151,225,DePaul,10449438.0
387,387,Kenneth Faried,Denver Nuggets,35,PF,26,166,228,Morehead State,11235955.0
388,388,Danilo Gallinari,Denver Nuggets,8,SF,27,178,225,,14000000.0
389,389,Gary Harris,Denver Nuggets,14,SG,21,179,210,Michigan State,1584480.0
390,390,Nikola Jokic,Denver Nuggets,15,C,21,155,250,,1300000.0
391,391,Joffrey Lauvergne,Denver Nuggets,77,C,24,167,220,,1709719.0
392,392,Mike Miller,Denver Nuggets,3,SG,36,152,218,Florida,947276.0
393,393,Emmanuel Mudiay,Denver Nuggets,0,PG,20,166,200,,3102240.0
394,394,Jameer Nelson,Denver Nuggets,1,PG,34,172,190,Saint Joseph's,4345000.0
395,395,Jusuf Nurkic,Denver Nuggets,23,C,21,157,280,,1842000.0
396,396,JaKarr Sampson,Denver Nuggets,9,SG,23,163,214,St. John's,258489.0
397,397,Axel Toupane,Denver Nuggets,6,SG,23,176,210,,4833969.0
398,398,Nemanja Bjelica,Minnesota Timberwolves,88,PF,28,178,240,,3950001.0
399,399,Gorgui Dieng,Minnesota Timberwolves,5,C,26,167,241,Louisville,1474440.0
400,400,Kevin Garnett,Minnesota Timberwolves,21,PF,40,166,240,,8500000.0
401,401,Tyus Jones,Minnesota Timberwolves,1,PG,20,175,195,Duke,1282080.0
402,402,Zach LaVine,Minnesota Timberwolves,8,PG,21,158,189,UCLA,2148360.0
403,403,Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,164,223,UCLA,2056920.0
404,404,Adreian Payne,Minnesota Timberwolves,33,PF,25,175,237,Michigan State,1938840.0
405,405,Nikola Pekovic,Minnesota Timberwolves,14,C,30,160,307,,12100000.0
406,406,Tayshaun Prince,Minnesota Timberwolves,12,SF,36,167,212,Kentucky,947276.0
407,407,Ricky Rubio,Minnesota Timberwolves,9,PG,25,151,194,,12700000.0
408,408,Damjan Rudez,Minnesota Timberwolves,10,SF,29,170,230,,1149500.0
409,409,Greg Smith,Minnesota Timberwolves,4,PF,25,173,250,Fresno State,4833969.0
410,410,Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,166,244,Kentucky,5703600.0
411,411,Andrew Wiggins,Minnesota Timberwolves,22,SG,21,152,199,Kansas,5758680.0
412,412,Steven Adams,Oklahoma City Thunder,12,C,22,162,255,Pittsburgh,2279040.0
413,413,Nick Collison,Oklahoma City Thunder,4,PF,35,169,255,Kansas,3750000.0
414,414,Kevin Durant,Oklahoma City Thunder,35,SF,27,156,240,Texas,20158622.0
415,415,Randy Foye,Oklahoma City Thunder,6,SG,32,161,213,Villanova,3135000.0
416,416,Josh Huestis,Oklahoma City Thunder,34,SF,24,160,230,Stanford,1140240.0
417,417,Serge Ibaka,Oklahoma City Thunder,9,PF,26,174,245,,12250000.0
418,418,Enes Kanter,Oklahoma City Thunder,11,C,24,152,245,Kentucky,16407500.0
419,419,Mitch McGary,Oklahoma City Thunder,33,PF,24,153,255,Michigan,1463040.0
420,420,Nazr Mohammed,Oklahoma City Thunder,13,C,38,174,250,Kentucky,222888.0
421,421,Anthony Morrow,Oklahoma City Thunder,2,SG,30,171,210,Georgia Tech,3344000.0
422,422,Cameron Payne,Oklahoma City Thunder,22,PG,21,158,185,Murray State,2021520.0
423,423,Andre Roberson,Oklahoma City Thunder,21,SG,24,170,210,Colorado,1210800.0
424,424,Kyle Singler,Oklahoma City Thunder,5,SF,28,161,228,Duke,4500000.0
425,425,Dion Waiters,Oklahoma City Thunder,3,SG,24,171,220,Syracuse,5138430.0
426,426,Russell Westbrook,Oklahoma City Thunder,0,PG,27,162,200,UCLA,16744218.0
427,427,Cliff Alexander,Portland Trail Blazers,34,PF,20,154,240,Kansas,525093.0
428,428,Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,180,215,Wake Forest,8042895.0
429,429,Pat Connaughton,Portland Trail Blazers,5,SG,23,157,206,Notre Dame,625093.0
430,430,Allen Crabbe,Portland Trail Blazers,23,SG,24,157,210,California,947276.0
431,431,Ed Davis,Portland Trail Blazers,17,C,27,178,240,North Carolina,6980802.0
432,432,Maurice Harkless,Portland Trail Blazers,4,SF,23,174,215,St. John's,2894059.0
433,433,Gerald Henderson,Portland Trail Blazers,9,SG,28,161,215,Duke,6000000.0
434,434,Chris Kaman,Portland Trail Blazers,35,C,34,168,265,Central Michigan,5016000.0
435,435,Meyers Leonard,Portland Trail Blazers,11,PF,24,167,245,Illinois,3075880.0
436,436,Damian Lillard,Portland Trail Blazers,0,PG,25,169,195,Weber State,4236287.0
437,437,C.J. McCollum,Portland Trail Blazers,3,SG,24,179,200,Lehigh,2525160.0
438,438,Luis Montero,Portland Trail Blazers,44,SG,23,163,185,Westchester CC,525093.0
439,439,Mason Plumlee,Portland Trail Blazers,24,C,26,154,235,Duke,1415520.0
440,440,Brian Roberts,Portland Trail Blazers,2,PG,30,163,173,Dayton,2854940.0
441,441,Noah Vonleh,Portland Trail Blazers,21,PF,20,166,240,Indiana,2637720.0
442,442,Trevor Booker,Utah Jazz,33,PF,28,179,228,Clemson,4775000.0
443,443,Trey Burke,Utah Jazz,3,PG,23,164,191,Michigan,2658240.0
444,444,Alec Burks,Utah Jazz,10,SG,24,162,214,Colorado,9463484.0
445,445,Dante Exum,Utah Jazz,11,PG,20,175,190,,3777720.0
446,446,Derrick Favors,Utah Jazz,15,PF,24,172,265,Georgia Tech,12000000.0
447,447,Rudy Gobert,Utah Jazz,27,C,23,150,245,,1175880.0
448,448,Gordon Hayward,Utah Jazz,20,SF,26,152,226,Butler,15409570.0
449,449,Rodney Hood,Utah Jazz,5,SG,23,177,206,Duke,1348440.0
450,450,Joe Ingles,Utah Jazz,2,SF,28,153,226,,2050000.0
451,451,Chris Johnson,Utah Jazz,23,SF,26,158,206,Dayton,981348.0
452,452,Trey Lyles,Utah Jazz,41,PF,20,179,234,Kentucky,2239800.0
453,453,Shelvin Mack,Utah Jazz,8,PG,26,169,203,Butler,2433333.0
454,454,Raul Neto,Utah Jazz,25,PG,24,160,179,,900000.0
455,455,Tibor Pleiss,Utah Jazz,21,C,26,169,256,,2900000.0
456,456,Jeff Withey,Utah Jazz,24,C,26,173,231,Kansas,947276.0
457,457,Priyanka,Utah Jazz,34,C,25,178,231,Kansas,947276.0
